response,group1,group2
53.496155547891924,a,d
64.2516305117417,b,e
56.14341945135785,c,f
52.35727000129833,a,d
62.61458288088475,b,e
57.1925224505798,c,f
55.910900380472434,a,d
66.34020082231206,b,e
63.60210371161947,c,f
60.15862643656415,a,d
60.74665689129554,b,e
53.41721129555207,c,f
59.54054344371522,a,d
58.78723389303175,b,e
57.70908547656881,c,f
61.27398839444279,a,d
63.02075760644342,b,e
58.70904036101167,c,f
58.76241207449853,a,d
58.306866091858446,b,e
58.52386466474961,c,f
60.072870197870685,a,d
54.752464353324584,b,e
62.4299792075861,c,f
56.78094652111639,a,d
67.29711177969797,b,e
57.666626252917105,c,f
66.9891728566368,a,d
64.79250140250318,b,e
64.55722848513662,c,f
57.90272132599857,a,d
64.62878827715724,b,e
58.378603655831924,c,f
69.99342644165277,a,d
59.394477368828966,b,e
59.785945181482234,c,f
54.38738444987208,a,d
61.430918702000206,b,e
55.887696758013384,c,f
64.60434547451482,a,d
57.82747663087467,b,e
65.01697196754077,c,f
61.568276662641104,a,d
60.40829628283267,b,e
56.68683514833365,c,f
65.3226316041156,a,d
56.55785105490275,b,e
56.975119985481115,c,f
61.27950332911891,a,d
60.219407480149144,b,e
64.47693934328018,c,f
55.28691818113834,a,d
61.71698807691489,b,e
63.35196744277217,c,f
57.15591701709072,a,d
58.32748594038003,b,e
63.380935482357344,c,f
59.71103984385557,a,d
58.043749071051664,b,e
60.940404371766746,c,f
65.48110320794362,a,d
58.32512848101268,b,e
60.18074501543109,c,f
60.491783020963226,a,d
65.59889296592985,b,e
54.191980808639784,c,f
67.16200400319909,a,d
57.66248148084013,b,e
61.31698555219131,c,f
59.64000177664945,a,d
58.68012088552557,b,e
53.09253951409818,c,f
62.02244593566303,a,d
60.67452367974938,b,e
57.94879614974582,c,f
67.32291489963217,a,d
56.66138651574735,b,e
64.1113405802454,c,f
60.63159417110698,a,d
63.14233897297251,b,e
61.26957573035054,c,f
58.89325950854793,a,d
61.42107043898584,b,e
54.16981322067056,c,f
64.15899230714751,a,d
58.07681541326055,b,e
53.70307914831051,c,f
60.14452845297949,a,d
61.00862198747729,b,e
64.46531244896389,c,f
60.114990631686524,a,d
52.7484470052108,b,e
57.57982176771387,c,f
62.929161883793995,a,d
55.32287413685886,b,e
65.25570100338824,c,f
60.87536985028745,a,d
56.44298984308326,b,e
56.5369434938171,c,f
58.64175210285317,a,d
64.86252231258672,b,e
56.38455845115662,c,f
59.41131897281031,a,d
60.26593163265124,b,e
55.77703098308615,c,f
62.69255323609633,a,d
58.7283366371007,b,e
60.52590327409286,c,f
52.73201169469953,a,d
67.91022149287178,b,e
61.026803041841944,c,f
58.47773651949554,a,d
53.66203930018008,b,e
